uid,ciqual_code,name,name_core,name_tags,main_group,sub_group,sub_sub_group,kcal_sanitized,kcal_calc_ml,energy_flag_ml,protein_g_100g_ml,carbohydrate_g_100g_ml,fat_g_100g_ml,sugars_g_100g_ml,fibres_g_100g_ml,salt_g_100g_ml,alcohol_g_100g_ml,water_g_100g_ml,macro_tags
soup-lentils-prepacked-to-be-reheated_25900,25900,"Soup, lentils, prepacked, to be reheated","Soup, lentils, prepacked, to be reheated",prepacked,starters and dishes,soups,,55,51.4,0,3.74,6.6,1.12,0.7,1.8,0.36,0,85.8,carb_moderate;fat_low
soup-chicken-and-vegetables-prepacked-to-be-reheated_25901,25901,"Soup, chicken and vegetables, prepacked, to be reheated","Soup, chicken and vegetables, prepacked, to be reheated",prepacked,starters and dishes,soups,,30.8,30,0,3.09,2.6,0.8,1.2,0.4,1.75,0,,carb_low;fat_low
soup-mixed-vegetables-prepacked-to-be-reheated_25903,25903,"Soup, mixed vegetables, prepacked, to be reheated","Soup, mixed vegetables, prepacked, to be reheated",prepacked,starters and dishes,soups,,39.4,37.3,0,0.76,5.05,1.56,1.72,1.1,0.69,0,90.2,protein_low;carb_moderate;fat_low
soup-fish-and-or-crustacean-prepacked-to-be-reheated_25904,25904,"Soup, fish and/or crustacean, prepacked, to be reheated","Soup, fish and/or crustacean, prepacked, to be reheated",prepacked,starters and dishes,soups,,42.8,41.4,0,3.45,2.88,1.79,0.9,0.69,0.86,0,89.4,carb_low;fat_low
soup-mixed-vegetables-dehydrated-and-reconstituted_25905,25905,"Soup, mixed vegetables, dehydrated and reconstituted","Soup, mixed vegetables, dehydrated and reconstituted",,starters and dishes,soups,,34.5,32.1,0,0.86,4.43,1.22,1.07,1.16,0.69,0,90.9,protein_low;carb_low;fat_low
soup-leek-and-potato-prepacked-to-be-reheated_25907,25907,"Soup, leek and potato, prepacked, to be reheated","Soup, leek and potato, prepacked, to be reheated",prepacked,starters and dishes,soups,,37.1,34.6,0,0.79,4.46,1.51,0.81,1.28,0.73,0,90.8,protein_low;carb_low;fat_low
soup-chicken-and-vermicelli-prepacked-to-be-reheated_25908,25908,"Soup, chicken and vermicelli, prepacked, to be reheated","Soup, chicken and vermicelli, prepacked, to be reheated",prepacked,starters and dishes,soups,,30.8,29.6,0,1.3,3.86,1,0.77,0.56,0.82,0,93.8,protein_low;carb_low;fat_low
broth-stock-or-bouillon-meat-and-vegetables-dehydrated-and-reconstituted_25909,25909,"Broth, stock or bouillon, meat and vegetables, dehydrated and reconstituted","Broth, stock or bouillon, meat and vegetables, dehydrated and reconstituted",,starters and dishes,soups,,4.8,4.8,0,0.2,0.1,0.4,0,0,1.08,0,98.1,protein_low;carb_low;fat_low
soup-onions-prepacked-to-be-reheated_25910,25910,"Soup, onions, prepacked, to be reheated","Soup, onions, prepacked, to be reheated",prepacked,starters and dishes,soups,,40.4,37.7,0,1.35,4.93,1.4,1.5,1.34,0.79,0,92.7,protein_low;carb_low;fat_low
soup-mushrooms-prepacked-to-be-reheated_25912,25912,"Soup, mushrooms, prepacked, to be reheated","Soup, mushrooms, prepacked, to be reheated",prepacked,starters and dishes,soups,,48.2,47.2,0,0.81,4.09,3.07,0.91,0.52,0.78,0,92,protein_low;carb_low
soup-carrots-prepacked-to-be-reheated_25913,25913,"Soup, carrots, prepacked, to be reheated","Soup, carrots, prepacked, to be reheated",prepacked,starters and dishes,soups,,33.2,30.7,0,0.61,3.89,1.41,1.82,1.22,0.65,0,91.2,protein_low;carb_low;fat_low
soup-tomatoes-prepacked-to-be-reheated_25914,25914,"Soup, tomatoes, prepacked, to be reheated","Soup, tomatoes, prepacked, to be reheated",prepacked,starters and dishes,soups,,38.7,37,0,0.74,6.27,0.99,2.95,0.88,0.64,0,90.3,protein_low;carb_moderate;fat_low
