uid,ciqual_code,name,name_core,name_tags,main_group,sub_group,sub_sub_group,kcal_sanitized,kcal_calc_ml,energy_flag_ml,protein_g_100g_ml,carbohydrate_g_100g_ml,fat_g_100g_ml,sugars_g_100g_ml,fibres_g_100g_ml,salt_g_100g_ml,alcohol_g_100g_ml,water_g_100g_ml,macro_tags
salsify-black-raw_20197,20197,"Salsify, black, raw","Salsify, black, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",76.4,76.4,0,3.13,15.3,0.3,,3.3,0.011,0,77,carb_high;fat_low
bamboo-shoots-raw_20198,20198,"Bamboo shoots, raw","Bamboo shoots, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",35.1,32.2,0,2.52,5.08,0.2,3,1.45,0.01,0,89.8,protein_low;carb_moderate;fat_low
garden-cress-raw_20199,20199,"Garden cress, raw","Garden cress, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",24.4,24.4,0,2.55,2.2,0.6,2.2,1.35,0.096,0,91.1,protein_low;carb_low;fat_low
iceberg-lettuce-raw_20200,20200,"Iceberg lettuce, raw","Iceberg lettuce, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",15.5,15.5,0,1.01,2.45,0.18,1.48,1.15,0.024,0,95.6,protein_low;carb_low;fat_low
rutabaga-or-swede-raw_20201,20201,"Rutabaga or Swede, raw","Rutabaga or Swede, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",28.6,28.6,0,1.17,5.7,0.13,4.46,2.6,0.028,0,89.5,protein_low;carb_moderate;fat_low
butter-bean-or-yellow-bean-frozen-raw_20203,20203,"Butter bean or yellow bean, frozen, raw","Butter bean or yellow bean, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",29.1,29.1,0,2,4.9,0.17,2.5,2.33,0.009,0,89.9,protein_low;carb_low;fat_low
broccoli-frozen-raw_20204,20204,"Broccoli, frozen, raw","Broccoli, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",21.4,21.4,0,2.79,1.56,0.44,1.24,2.77,0.05,0,91.5,protein_low;carb_low;fat_low
brussels-sprout-frozen-raw_20206,20206,"Brussels sprout, frozen, raw","Brussels sprout, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",34.7,34.7,0,3.43,4.5,0.33,2.35,4.28,0.029,0,86.3,carb_low;fat_low
carrot-frozen-raw_20208,20208,"Carrot, frozen, raw","Carrot, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",24.9,24.9,0,0.63,4.99,0.27,4.73,2.76,0.15,0,90.9,protein_low;carb_low;fat_low
cucumber-pulp-raw_20210,20210,"Cucumber, pulp, raw","Cucumber, pulp, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",14.7,13.9,0,0.56,2.23,0.3,1.8,0.8,0,0,96.3,protein_low;carb_low;fat_low
garden-peas-and-carrots-frozen-raw_20214,20214,"Garden peas and carrots, frozen, raw","Garden peas and carrots, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",47.3,47.3,0,3.89,7.1,0.37,3.43,4.3,0.082,0,82.3,carb_moderate;fat_low
roman-rocket-raw_20217,20217,"Roman rocket, raw","Roman rocket, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",24.7,24.7,0,2.58,2.1,0.66,2.05,1.6,0.068,0,91.7,protein_low;carb_low;fat_low
curly-kale-raw_20218,20218,"Curly kale, raw","Curly kale, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",43.8,43.8,0,4.33,4.2,1.07,2.26,4.9,0.091,0,82.8,carb_low;fat_low
button-mushroom-or-cultivated-mushroom-frozen-raw_20228,20228,"Button mushroom or cultivated mushroom, frozen, raw","Button mushroom or cultivated mushroom, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",15.9,12.8,0,1.8,0.83,0.25,0.25,1.97,0.02,0,93.2,protein_low;carb_low;fat_low
courgette-or-zucchini-pulp-and-peel-frozen-raw_20230,20230,"Courgette or zucchini, pulp and peel, frozen, raw","Courgette or zucchini, pulp and peel, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",14.7,14.7,0,1.19,2.18,0.14,1.56,1.48,0.019,0,94.6,protein_low;carb_low;fat_low
chinese-or-japanese-artichokes-frozen-raw_20231,20231,"Chinese or Japanese artichokes, frozen, raw","Chinese or Japanese artichokes, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",40.4,40.4,0,1.4,8.7,0,0.5,0,0.002,0,,protein_low;carb_moderate;fat_low
artichoke-base-frozen-raw_20232,20232,"Artichoke base, frozen, raw","Artichoke base, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",44.6,44.6,0,2.08,8.09,0.43,1.89,7.54,0.18,0,84.7,protein_low;carb_moderate;fat_low
sweet-corn-frozen-raw_20233,20233,"Sweet corn, frozen, raw","Sweet corn, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",99.3,99.3,0,3.28,19.8,0.78,3.78,2.8,0.013,0,71.8,carb_high;fat_low
turnip-frozen-raw_20234,20234,"Turnip, frozen, raw","Turnip, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",12.9,12.9,0,0.82,2,0.18,1.9,1.85,0.066,0,95.7,protein_low;carb_low;fat_low
onion-frozen-raw_20235,20235,"Onion, frozen, raw","Onion, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",26.6,26.6,0,1,5.39,0.12,4.59,2.65,0.02,0,91.1,protein_low;carb_moderate;fat_low
leek-frozen-raw_20236,20236,"Leek, frozen, raw","Leek, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",26.7,21.7,0,1.42,3.35,0.29,2.95,2.55,0.016,0,93.2,protein_low;carb_low;fat_low
salsify-frozen-raw_20237,20237,"Salsify, frozen, raw","Salsify, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",28.6,28.6,0,2.65,4.15,0.15,2.5,5.8,0.043,0,85.8,protein_low;carb_low;fat_low
red-onion-raw_20238,20238,"Red onion, raw","Red onion, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",36.3,31.4,0,1.31,5.63,0.4,5.2,2.5,0,0,90.3,protein_low;carb_moderate;fat_low
yellow-onion-raw_20239,20239,"Yellow onion, raw","Yellow onion, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",37.8,33,0,1.19,6.39,0.3,0.2,2.6,0,0,89,protein_low;carb_moderate;fat_low
mixed-vegetables-for-soups-frozen-raw_20263,20263,"Mixed vegetables for soups, frozen, raw","Mixed vegetables for soups, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",34.1,28.5,0,1.44,4.69,0.44,2.5,2.86,0.052,0,89.2,protein_low;carb_low;fat_low
thinly-shredded-or-diced-vegetables-frozen-raw_20265,20265,"Thinly-shredded or diced vegetables, frozen, raw","Thinly-shredded or diced vegetables, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",23.3,23.3,0,1.19,4.08,0.25,3.13,2.28,0.1,0,,protein_low;carb_low;fat_low
mixed-vegetables-for-ratatouille-frozen_20266,20266,"Mixed vegetables for ratatouille, frozen",Mixed vegetables for ratatouille,frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",17.8,17.8,0,1.01,3.23,0.089,2.88,1.67,0.11,0,94.2,protein_low;carb_low;fat_low
spring-vegetables-frozen-raw-french-beans-carrots-potatoes-green-peas-onions_20267,20267,"Spring vegetables, frozen, raw (French beans, carrots, potatoes, green peas, onions)","Spring vegetables, frozen, raw",french_beans;carrots;potatoes;green_peas;onions;frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",44.2,44.2,0,2.4,8.48,0.078,2.62,3.62,0.04,0,85.7,protein_low;carb_moderate;fat_low
flat-bean-raw_20269,20269,"Flat bean, raw","Flat bean, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",26.7,26.7,0,1.93,4.47,0.12,1.3,2.97,0.049,0,92.2,protein_low;carb_low;fat_low
spinach-young-leaves-raw_20270,20270,"Spinach, young leaves, raw","Spinach, young leaves, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",18.3,14.4,0,2.06,0.65,0.4,,2.4,0.063,0,93.7,protein_low;carb_low;fat_low
mesclun-or-salads-mix-of-baby-leaves_20272,20272,"Mesclun or salads, mix of baby leaves","Mesclun or salads, mix of baby leaves",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",18,18,0,2,2.5,0,0,2,0.048,0,,protein_low;carb_low;fat_low
tomato-round-raw_20276,20276,"Tomato, round, raw","Tomato, round, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",20.3,19.1,0,0.5,3.59,0.3,2.8,1,0,0,94.1,protein_low;carb_low;fat_low
asparagus-green-raw_20279,20279,"Asparagus, green, raw","Asparagus, green, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",20.4,20.4,0,2.46,2.03,0.27,1.5,2.15,0.014,0,92.5,protein_low;carb_low;fat_low
romanesco-cauliflower-or-romanesco-broccoli-raw_20280,20280,"Romanesco cauliflower or romanesco broccoli, raw","Romanesco cauliflower or romanesco broccoli, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",24.1,24.1,0,2.93,2.2,0.4,2.2,2.35,0.039,0,89.8,protein_low;carb_low;fat_low
asparagus-white-or-purple-peeled-raw_20282,20282,"Asparagus, white or purple, peeled, raw","Asparagus, white or purple, peeled, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",22.7,22.7,0,2.5,2.5,0.3,,1.8,0.019,0,92.4,protein_low;carb_low;fat_low
glasswort-salicornia-sp-fresh_20283,20283,"Glasswort (Salicornia sp.), fresh","Glasswort, fresh",salicornia_sp,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",9.2,9.2,0,0.67,1.1,0.24,,2.46,2.56,0,92.2,protein_low;carb_low;fat_low
lettuce-sucrine-raw_20288,20288,"Lettuce, sucrine, raw","Lettuce, sucrine, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",17.9,15.7,0,1.13,2.58,0.1,1.78,0.8,0,0,94.8,protein_low;carb_low;fat_low
lettuce-oak-leaf-raw_20295,20295,"Lettuce, oak-leaf, raw","Lettuce, oak-leaf, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",14.3,11.3,0,1.13,1.03,0.3,0.6,1.8,0.023,0,95.8,protein_low;carb_low;fat_low
mixed-vegetables-for-couscous-frozen-raw_20496,20496,"Mixed vegetables for couscous, frozen, raw","Mixed vegetables for couscous, frozen, raw",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",46.5,41.5,0,2.05,6.75,0.7,3.05,2.53,0.12,0,,protein_low;carb_moderate;fat_low
tomato-bunch-raw_20584,20584,"Tomato, bunch, raw","Tomato, bunch, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",20.1,16.8,0,0.5,3.03,0.3,2.6,1.5,0,0,94.6,protein_low;carb_low;fat_low
green-salad-raw-without-seasoning_25604,25604,"Green salad, raw, without seasoning","Green salad, raw",without_seasoning,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",10.9,10.9,0,1.01,1.5,0.1,0.83,1.3,0.046,0,96.1,protein_low;carb_low;fat_low
plantain-banana-raw_53100,53100,"Plantain banana, raw","Plantain banana, raw",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, raw",127,127,0,1.28,29.6,0.39,,2.3,0.01,0,65.3,protein_low;carb_high;fat_low
chayote-boiled-cooked-in-water_13177,13177,"Chayote, boiled/cooked in water","Chayote, boiled/cooked in water",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",16,16,0,0.62,2.29,0.48,,2.8,0.002,0,93.4,protein_low;carb_low;fat_low
artichoke-globe-cooked_20000,20000,"Artichoke, globe, cooked","Artichoke, globe, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",16.6,16.6,0,2.53,0.99,0.28,0.99,8.3,0.15,0,85.8,protein_low;carb_low;fat_low
asparagus-boiled-cooked-in-water_20001,20001,"Asparagus, boiled/cooked in water","Asparagus, boiled/cooked in water",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",16.8,16.8,0,2.68,0.81,0.32,0.81,1.8,0.021,0,93.4,protein_low;carb_low;fat_low
eggplant-cooked_20002,20002,"Eggplant, cooked","Eggplant, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",24.5,24.5,0,1.33,4.17,0.28,3.41,4.3,0.015,0,88.6,protein_low;carb_low;fat_low
beetroot-cooked_20003,20003,"Beetroot, cooked","Beetroot, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",42.8,37.9,0,1.44,7.13,0.4,6.7,2.5,0.23,0,88.3,protein_low;carb_moderate;fat_low
swiss-chard-cooked_20005,20005,"Swiss chard, cooked","Swiss chard, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",14.7,10.4,0,0.7,1.23,0.3,0.8,2.5,0.25,0,95.3,protein_low;carb_low;fat_low
broccoli-cooked_20006,20006,"Broccoli, cooked","Broccoli, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",19.8,19.8,0,2.1,1.1,0.78,1.1,1.5,0.098,0,92.5,protein_low;carb_low;fat_low
carrot-canned-drained_20007,20007,"Carrot, canned, drained","Carrot, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",21.9,18.1,0,0.67,3.4,0.2,2.49,1.75,0.58,0,93,protein_low;carb_low;fat_low
carrot-cooked_20008,20008,"Carrot, cooked","Carrot, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",18.9,13.5,0,0.55,2.6,0.1,1.3,2.8,0.051,0,93,protein_low;carb_low;fat_low
mushroom-all-types-canned-drained_20011,20011,"Mushroom, all types, canned, drained","Mushroom, all types, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",24.9,20.3,0,1.87,2.56,0.29,2.19,2.4,1.06,0,91.1,protein_low;carb_low;fat_low
brussels-sprout-cooked_20013,20013,"Brussels sprout, cooked","Brussels sprout, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",28.2,28.2,0,2.6,4.2,0.11,1.7,3.2,0.024,0,87.6,protein_low;carb_low;fat_low
green-cabbage-cooked_20015,20015,"Green cabbage, cooked","Green cabbage, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",20.3,20.3,0,1.03,3.04,0.45,2.79,2.4,0.098,0,93.9,protein_low;carb_low;fat_low
cauliflower-cooked_20017,20017,"Cauliflower, cooked","Cauliflower, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",20.9,16.9,0,1.6,1.6,0.46,1.59,2,0.017,0,93.7,protein_low;carb_low;fat_low
palm-heart-canned-drained_20018,20018,"Palm heart, canned, drained","Palm heart, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",30.4,30.4,0,2.45,4.03,0.5,1.5,2.32,0.81,0,90.2,protein_low;carb_low;fat_low
courgette-or-zucchini-pulp-and-peel-cooked_20021,20021,"Courgette or zucchini, pulp and peel, cooked","Courgette or zucchini, pulp and peel, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",15.5,12.6,0,0.93,1.4,0.36,1.39,1.5,0.098,0,93.8,protein_low;carb_low;fat_low
celery-stalk-cooked_20024,20024,"Celery stalk, cooked","Celery stalk, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",9.6,9.6,0,0.83,1.2,0.16,1.2,1.6,0.23,0,94.1,protein_low;carb_low;fat_low
celeriac-cooked_20025,20025,"Celeriac, cooked","Celeriac, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",31.3,31.3,0,1.3,4.6,0.86,2.8,2.6,0.15,0,90.1,protein_low;carb_low;fat_low
spinach-cooked_20027,20027,"Spinach, cooked","Spinach, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",16.1,16.1,0,3.2,0.5,0.14,0.47,2.7,0.069,0,92.8,carb_low;fat_low
mung-bean-sprouted-or-soy-spouts-canned-drained_20029,20029,"Mung bean, sprouted or soy spouts, canned, drained","Mung bean, sprouted or soy spouts, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",16.8,16.8,0,1.56,2.36,0.12,1.78,1.63,0.35,0,95.8,protein_low;carb_low;fat_low
french-bean-cooked_20030,20030,"French bean, cooked","French bean, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",29.4,21.5,0,2,3,0.17,1,4,0.4,0,89.3,protein_low;carb_low;fat_low
turnip-cooked_20033,20033,"Turnip, cooked","Turnip, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",20.6,20.6,0,0.9,3.8,0.2,2.9,2.2,0.073,0,93.4,protein_low;carb_low;fat_low
onion-cooked_20035,20035,"Onion, cooked","Onion, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",31.8,31.8,0,1.3,6.2,0.2,4,1.4,0.021,0,90.4,protein_low;carb_moderate;fat_low
garden-peas-canned-drained_20036,20036,"Garden peas, canned, drained","Garden peas, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",81.5,70.5,0,5.12,10.7,0.8,3.59,5.75,0.64,0,79.5,protein_moderate;carb_moderate;fat_low
garden-peas-cooked_20037,20037,"Garden peas, cooked","Garden peas, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",49.8,49.8,0,5.8,4.7,0.87,1.8,5.8,0.018,0,82.9,protein_moderate;carb_low;fat_low
leek-cooked_20040,20040,"Leek, cooked","Leek, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",18.2,18.2,0,1.1,3,0.2,2.11,3.2,0.015,0,92,protein_low;carb_low;fat_low
pumpkin-canned-drained_20043,20043,"Pumpkin, canned, drained","Pumpkin, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",27.7,27.7,0,1.1,5.19,0.28,3.3,2.9,0.6,0,90,protein_low;carb_moderate;fat_low
salsify-cooked_20046,20046,"Salsify, cooked","Salsify, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",61.6,61.6,0,2.73,12.3,0.17,2.9,3.1,0.04,0,,protein_low;carb_moderate;fat_low
tomato-peeled-canned-drained_20048,20048,"Tomato, peeled, canned, drained","Tomato, peeled, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",18.3,14.4,0,1.07,1.89,0.28,1.88,1.27,0.28,0,94.4,protein_low;carb_low;fat_low
sweet-corn-on-the-cob-cooked_20049,20049,"Sweet corn, on the cob, cooked","Sweet corn, on the cob, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",101.5,101.5,0,3.41,18.6,1.5,4.54,2.4,0.002,0,73.4,carb_high;fat_low
diced-mixed-vegetables-canned-drained_20051,20051,"Diced mixed vegetables, canned, drained","Diced mixed vegetables, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",40.4,34.2,0,2.32,5.59,0.28,1.73,3.16,0.61,0,87,protein_low;carb_moderate;fat_low
spinach-canned-drained_20060,20060,"Spinach, canned, drained","Spinach, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",19.5,19.5,0,2.81,0.93,0.5,0.4,2.4,0.81,0,91.8,protein_low;carb_low;fat_low
french-bean-canned-drained_20062,20062,"French bean, canned, drained","French bean, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",23.1,16.4,0,1.33,2.07,0.31,0.77,3.36,0.68,0,92.6,protein_low;carb_low;fat_low
butter-bean-or-yellow-bean-canned-drained_20063,20063,"Butter bean or yellow bean, canned, drained","Butter bean or yellow bean, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",20.9,20.9,0,1.22,3.48,0.23,0.86,1.68,0.66,0,92.8,protein_low;carb_low;fat_low
sweet-corn-canned-drained_20066,20066,"Sweet corn, canned, drained","Sweet corn, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",106,100,0,2.82,18.4,1.68,5.16,3.1,0.59,0,75.4,protein_low;carb_high;fat_low
artichoke-canned-drained_20067,20067,"Artichoke, canned, drained","Artichoke, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",33.8,33.8,0,1.5,6.5,0.2,1.5,3,0.8,0,89.9,protein_low;carb_moderate;fat_low
tomato-paste-concentrated-canned_20068,20068,"Tomato paste, concentrated, canned","Tomato paste, concentrated",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",99.2,90.8,0,4.4,17.1,0.53,13.3,4.2,0.27,0,72,carb_high;fat_low
french-bean-frozen-cooked_20071,20071,"French bean, frozen, cooked","French bean, frozen, cooked",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",36.3,29.9,0,1.95,5.1,0.19,1.23,3.3,0.004,0,91.4,protein_low;carb_moderate;fat_low
artichoke-steamed_20074,20074,"Artichoke, steamed","Artichoke, steamed",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",47.3,24.4,0,2.63,3.24,0.1,1.9,10.9,0.068,0,81.4,protein_low;carb_low;fat_low
asparagus-canned-drained_20076,20076,"Asparagus, canned, drained","Asparagus, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",14.5,14.5,0,1.58,1.43,0.27,1.23,1.5,0.73,0,94.2,protein_low;carb_low;fat_low
brussels-sprout-canned-drained_20077,20077,"Brussels sprout, canned, drained","Brussels sprout, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",31.2,31.2,0,2.5,4.1,0.53,2.5,3.3,0.57,0,88.9,protein_low;carb_low;fat_low
celery-stalk-canned-drained_20078,20078,"Celery stalk, canned, drained","Celery stalk, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",13.1,9.4,0,0.63,1.38,0.15,0.8,2,0.54,0,95,protein_low;carb_low;fat_low
button-mushroom-or-cultivated-mushroom-canned-drained_20079,20079,"Button mushroom or cultivated mushroom, canned, drained","Button mushroom or cultivated mushroom, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",19.4,15,0,2.23,0.7,0.37,0,2.5,0.63,0,92.9,protein_low;carb_low;fat_low
salsify-canned-drained_20081,20081,"Salsify, canned, drained","Salsify, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",23.4,23.4,0,1.25,4.25,0.15,1,2.5,0.61,0,91.5,protein_low;carb_low;fat_low
sweet-pepper-green-cooked_20086,20086,"Sweet pepper, green, cooked","Sweet pepper, green, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",14.9,14.9,0,0.92,2.36,0.2,2.36,1.2,0.005,0,91.9,protein_low;carb_low;fat_low
sweet-pepper-red-cooked_20088,20088,"Sweet pepper, red, cooked","Sweet pepper, red, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",36.3,36.3,0,1.4,7,0.3,6,2.2,0.006,0,90.2,protein_low;carb_moderate;fat_low
garden-peas-and-carrots-canned-drained_20093,20093,"Garden peas and carrots, canned, drained","Garden peas and carrots, canned, drained",canned,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",49,42.6,0,2.51,7.39,0.33,3.58,3.27,0.61,0,87.4,protein_low;carb_moderate;fat_low
kohlrabi-boiled-cooked-in-water_20094,20094,"Kohlrabi, boiled/cooked in water","Kohlrabi, boiled/cooked in water",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",25.8,25.8,0,1.8,4.4,0.11,2.8,1.1,0.053,0,90.3,protein_low;carb_low;fat_low
red-cabbage-boiled-cooked-in-water_20095,20095,"Red cabbage, boiled/cooked in water","Red cabbage, boiled/cooked in water",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",20.1,20.1,0,1.51,3.32,0.09,3.32,2.6,0.07,0,90.8,protein_low;carb_low;fat_low
pumpkin-cooked_20096,20096,"Pumpkin, cooked","Pumpkin, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",21.9,21.9,0,0.81,4.5,0.07,3.1,2,0,0,92,protein_low;carb_low;fat_low
button-mushroom-or-cultivated-mushroom-boiled-cooked-in-water_20102,20102,"Button mushroom or cultivated mushroom, boiled/cooked in water","Button mushroom or cultivated mushroom, boiled/cooked in water",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",28.7,24.9,0,2.17,3,0.47,2.34,2.2,0.005,0,91.1,protein_low;carb_low;fat_low
fennel-boiled-cooked-in-water_20118,20118,"Fennel, boiled/cooked in water","Fennel, boiled/cooked in water",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",6.8,7.7,0,1.13,0.8,0,0.5,2,0.15,0,94.4,protein_low;carb_low;fat_low
spinach-frozen-cooked_20121,20121,"Spinach, frozen, cooked","Spinach, frozen, cooked",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",25.9,25.9,0,4.01,0.51,0.87,0.51,3.7,0.24,0,88.9,carb_low;fat_low
cauliflower-frozen-cooked_20122,20122,"Cauliflower, frozen, cooked","Cauliflower, frozen, cooked",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",18,12.6,0,1.61,1.05,0.22,1.03,2.7,0.045,0,94,protein_low;carb_low;fat_low
garden-peas-frozen-cooked_20124,20124,"Garden peas, frozen, cooked","Garden peas, frozen, cooked",frozen,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",54.8,54.8,0,5.15,7.95,0.27,4.65,5.5,0.18,0,79.5,protein_moderate;carb_moderate;fat_low
button-mushroom-or-cultivated-mushroom-sauteed-pan-fried-without-fat_20125,20125,"Button mushroom or cultivated mushroom, sautéed/pan-fried, without fat","Button mushroom or cultivated mushroom, sautéed/pan-fried",without_fat,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",38.4,41.3,0,4.44,4.53,0.6,,0.9,0.028,0,88.4,carb_low;fat_low
parsnip-cooked_20133,20133,"Parsnip, cooked","Parsnip, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",67.8,61.6,0,1.32,13.4,0.3,4.8,3.6,0.025,0,80.2,protein_low;carb_moderate;fat_low
leeks-fondue-or-slow-simmered-leeks_20135,20135,Leeks fondue or slow-simmered leeks,Leeks fondue or slow-simmered leeks,,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",51.2,51.2,0,1.1,0,5.2,,3.6,0.5,0,,protein_low;carb_low;fat_moderate
squash-butternut-peeled-cooked_20141,20141,"Squash, butternut, peeled, cooked","Squash, butternut, peeled, cooked",,"fruits, vegetables, legumes and nuts",vegetables,"vegetables, cooked",5.6,,0,1.23,,0.07,,,0.005,0,87.8,protein_low;fat_low
