food_id,canonical_name,display_name,food_family_name,entity_level,food_group,food_subgroup,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,food_subgroup_detail,processing_state,preservation_state,fibre_g_100g,sugars_g_100g,salt_g_100g,water_g_100g,alcohol_g_100g,helper_macro_profile,helper_use_as_protein,helper_use_as_carb_side,helper_use_as_veg_side,helper_is_sweet,helper_is_salty,helper_is_drink,helper_is_vegetarian,helper_is_vegan,helper_protein_bucket,helper_carb_bucket,helper_veg_bucket,primary_source_uid,primary_source_name,primary_source_ciqual_code,primary_source_name_tags,qc_macro_complete,qc_taxonomy_complete,qc_canonicalization_status,qc_scope_status,qc_source_merge_count,qc_notes
food_brussels_sprout_boiled_cooked_in_water,brussels_sprout_boiled_cooked_in_water,"Brussels sprout, boiled/cooked in water",Brussels sprout,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,45.4,3.19,5.4,0.1,"vegetables, cooked",cooked,,4.8,4.1,0.023,85.5,0.0,carb_moderate;fat_low,True,False,True,False,False,,,,,,,brussels-sprout-boiled-cooked-in-water_20309,"Brussels sprout, boiled/cooked in water",20309,,True,True,normalized_from_source_name,accepted_core,1,
food_brussels_sprout_canned_drained,brussels_sprout_canned_drained,"Brussels sprout, canned, drained",Brussels sprout,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,31.2,2.5,4.1,0.53,"vegetables, cooked",,canned;drained,3.3,2.5,0.57,88.9,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,,,,brussels-sprout-canned-drained_20077,"Brussels sprout, canned, drained",20077,canned,True,True,normalized_from_source_name,accepted_core,1,
food_brussels_sprout_cooked,brussels_sprout_cooked,"Brussels sprout, cooked",Brussels sprout,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,28.2,2.6,4.2,0.11,"vegetables, cooked",cooked,,3.2,1.7,0.024,87.6,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,,,,brussels-sprout-cooked_20013,"Brussels sprout, cooked",20013,,True,True,normalized_from_source_name,accepted_core,1,
food_brussels_sprout_frozen_cooked,brussels_sprout_frozen_cooked,"Brussels sprout, frozen, cooked",Brussels sprout,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,35.0,3.64,4.22,0.39,"vegetables, cooked",cooked,frozen,4.1,2.08,0.038,86.7,0.0,carb_low;fat_low,True,False,True,False,False,,,,,,,brussels-sprout-frozen-cooked_20207,"Brussels sprout, frozen, cooked",20207,frozen,True,True,normalized_from_source_name,accepted_core,1,
food_brussels_sprout_frozen_raw,brussels_sprout_frozen_raw,"Brussels sprout, frozen, raw",Brussels sprout,atomic,"fruits, vegetables, legumes and nuts",vegetables,34.7,3.43,4.5,0.33,"vegetables, raw",raw,frozen,4.28,2.35,0.029,86.3,0.0,carb_low;fat_low,True,False,True,False,False,,,,,,,brussels-sprout-frozen-raw_20206,"Brussels sprout, frozen, raw",20206,frozen,True,True,normalized_from_source_name,accepted_core,1,
food_brussels_sprout_raw,brussels_sprout_raw,"Brussels sprout, raw",Brussels sprout,atomic,"fruits, vegetables, legumes and nuts",vegetables,42.2,3.98,5.67,0.4,"vegetables, raw",raw,,3.95,2.2,0.041,85.0,0.0,carb_moderate;fat_low,True,False,True,False,False,,,,,,,brussels-sprout-raw_20058,"Brussels sprout, raw",20058,,True,True,normalized_from_source_name,accepted_core,1,
food_buckwheat_whole_raw,buckwheat_whole_raw,"Buckwheat, whole, raw","Buckwheat, whole",atomic,cereal products,"pasta, rice and grains",356.0,12.9,64.6,3.55,"pasta, rice and grains, raw",raw,,7.0,,0.002,10.1,0.0,protein_high;carb_high,False,True,False,False,False,,True,True,,grains_whole,,buckwheat-whole-raw_9380,"Buckwheat, whole, raw",9380,,True,True,normalized_from_source_name,accepted_core,1,
food_burger_beef_based_15_fat_raw_prepacked,burger_beef_based_15_fat_raw_prepacked,"Burger, beef based, 15% fat, raw, prepacked","Burger, beef based, 15 fat",atomic,"meat, egg and fish",other meat products,195.5,15.8,2.48,13.6,,raw,,1.55,0.57,0.87,62.5,0.0,protein_high;carb_low;fat_high,True,False,False,False,False,,,,lean_red,,,burger-beef-based-15-fat-raw-prepacked_6260,"Burger, beef based, 15% fat, raw, prepacked",6260,prepacked,True,True,normalized_from_source_name,accepted_core,1,
food_burger_sauce_prepacked,burger_sauce_prepacked,"Burger sauce, prepacked",Burger sauce,semi_atomic,miscellaneous,sauces,361.6,1.06,13.3,33.8,condiment sauces,,,0.48,10.3,2.13,,0.0,protein_low;carb_moderate;fat_high,False,False,False,False,True,,,,,,,burger-sauce-prepacked_11196,"Burger sauce, prepacked",11196,prepacked,True,True,normalized_from_source_name,accepted_core,1,
food_burgundy_style_sauce_prepacked,burgundy_style_sauce_prepacked,"Burgundy-style sauce, prepacked",Burgundy-style sauce,semi_atomic,miscellaneous,sauces,431.5,1.25,7.85,43.9,condiment sauces,,,0.52,5.23,2.71,46.3,0.0,protein_low;carb_moderate;fat_high,False,False,False,False,True,,,,,,,burgundy-style-sauce-prepacked_11120,"Burgundy-style sauce, prepacked",11120,style:burgundy;prepacked,True,True,normalized_from_source_name,accepted_core,1,
