canonical_name,display_name,food_family_name,qc_source_merge_count,qc_canonicalization_status,merged_source_uids,merged_source_names,qc_notes
mineral_sparkling_water_bottled_averagely_mineralized,"Mineral sparkling water, bottled, averagely mineralized",Mineral sparkling water,16,collapsed_mineral_water_brand,mineral-sparkling-water-arcens-bottled-averagely-mineralized_76006; mineral-sparkling-water-verniere-bottled-averagely-mineralized_76024; mineral-sparkling-water-orezza-bottled-averagely-mineralized_76030; mineral-sparkling-water-parot-bottled-averagely-mineralized_76031; mineral-sparkling-water-puits-st-georges-bottled-averagely-mineralized_76034; mineral-sparkling-water-quezac-bottled-averagely-mineralized_76035; mineral-sparkling-water-reine-des-basaltes-bottled-averagely-mineralized_76036; mineral-sparkling-water-salvetat-bottled-averagely-mineralized_76039; mineral-sparkling-water-ste-marguerite-bottled-averagely-mineralized_76047; mineral-sparkling-water-badoit-bottled-averagely-mineralized_76061; mineral-sparkling-water-san-pellegrino-bottled-averagely-mineralized_76075; mineral-sparkling-water-nessel-bottled-averagely-mineralized_76088; mineral-sparkling-water-st-alban-bottled-averagely-mineralized_76092; mineral-sparkling-water-st-geron-bottled-averagely-mineralized_76093; mineral-sparkling-water-st-michel-de-mourcairol-bottled-averagely-mineralized_76094; mineral-sparkling-water-vals-bottled-averagely-mineralized_76096,"Mineral sparkling water (Arcens), bottled, averagely mineralized || Mineral sparkling water (Vernière), bottled, averagely mineralized || Mineral sparkling water (Orezza), bottled, averagely mineralized || Mineral sparkling water (Parot), bottled, averagely mineralized || Mineral sparkling water (Puits St Georges), bottled, averagely mineralized || Mineral sparkling water (Quézac), bottled, averagely mineralized || Mineral sparkling water (Reine des basaltes), bottled, averagely mineralized || Mineral sparkling water (Salvetat), bottled, averagely mineralized || Mineral sparkling water (Ste-Marguerite), bottled, averagely mineralized || Mineral sparkling water (Badoit), bottled, averagely mineralized || Mineral sparkling water (San Pellegrino), bottled, averagely mineralized || Mineral sparkling water (Nessel), bottled, averagely mineralized || Mineral sparkling water (St-Alban), bottled, averagely mineralized || Mineral sparkling water (St-Géron), bottled, averagely mineralized || Mineral sparkling water (St-Michel-de-Mourcairol), bottled, averagely mineralized || Mineral sparkling water (Vals), bottled, averagely mineralized",collapsed 16 source rows into one canonical row
mineral_sparkling_water_bottled_lightly_mineralized,"Mineral sparkling water, bottled, lightly mineralized",Mineral sparkling water,6,collapsed_mineral_water_brand,mineral-sparkling-water-aziac-bottled-lightly-mineralized_76002; mineral-sparkling-water-ventadour-bottled-lightly-mineralized_76053; mineral-sparkling-water-vernet-bottled-lightly-mineralized_76054; mineral-sparkling-water-volvic-active-bottled-lightly-mineralized_76058; mineral-sparkling-water-perrier-bottled-lightly-mineralized_76060; mineral-sparkling-water-ogeu-bottled-lightly-mineralized_76089,"Mineral sparkling water (Aziac), bottled, lightly mineralized || Mineral sparkling water (Ventadour), bottled, lightly mineralized || Mineral sparkling water (Vernet), bottled, lightly mineralized || Mineral sparkling water (Volvic active), bottled, lightly mineralized || Mineral sparkling water (Perrier), bottled, lightly mineralized || Mineral sparkling water (Ogeu), bottled, lightly mineralized",collapsed 6 source rows into one canonical row
mineral_sparkling_water_bottled_strongly_mineralized,"Mineral sparkling water, bottled, strongly mineralized",Mineral sparkling water,10,collapsed_mineral_water_brand,mineral-sparkling-water-ardesy-bottled-strongly-mineralized_76007; mineral-sparkling-water-chateauneuf-bottled-strongly-mineralized_76013; mineral-sparkling-water-chateldon-bottled-strongly-mineralized_76014; mineral-sparkling-water-didier-bottled-strongly-mineralized_76018; mineral-sparkling-water-hydroxydase-bottled-strongly-mineralized_76023; mineral-sparkling-water-rozana-bottled-strongly-mineralized_76037; mineral-sparkling-water-st-diery-bottled-strongly-mineralized_76046; mineral-sparkling-water-st-yorre-bottled-strongly-mineralized_76049; mineral-sparkling-water-vichy-celestins-bottled-strongly-mineralized_76055; mineral-sparkling-water-cilaos-bottled-strongly-mineralized_76083,"Mineral sparkling water (Ardesy), bottled, strongly mineralized || Mineral sparkling water (Chateauneuf), bottled, strongly mineralized || Mineral sparkling water (Chateldon), bottled, strongly mineralized || Mineral sparkling water (Didier), bottled, strongly mineralized || Mineral sparkling water (Hydroxydase), bottled, strongly mineralized || Mineral sparkling water (Rozana), bottled, strongly mineralized || Mineral sparkling water (St-Diéry), bottled, strongly mineralized || Mineral sparkling water (St-Yorre), bottled, strongly mineralized || Mineral sparkling water (Vichy Célestins), bottled, strongly mineralized || Mineral sparkling water (Cilaos), bottled, strongly mineralized",collapsed 10 source rows into one canonical row
mineral_still_water_bottled,"Mineral still water, bottled",Mineral still water,2,collapsed_mineral_water_brand,water-mineral-non-carbonated-mont-blanc_76101; water-mineral-non-carbonated-eden_76102,"Water, mineral, non-carbonated, MONT-BLANC || Water, mineral, non-carbonated, EDEN",collapsed 2 source rows into one canonical row
mineral_still_water_bottled_averagely_mineralized,"Mineral still water, bottled, averagely mineralized",Mineral still water,8,collapsed_mineral_water_brand,mineral-still-water-clos-de-l-abbaye-bottled-averagely-mineralized_76015; mineral-still-water-dax-bottled-averagely-mineralized_76017; mineral-still-water-oree-du-bois-bottled-averagely-mineralized_76029; mineral-still-water-st-amand-bottled-averagely-mineralized_76043; mineral-still-water-vittel-bottled-averagely-mineralized_76056; mineral-still-water-christinen-brunnen-bottled-averagely-mineralized_76066; mineral-still-water-spa-reine-bottled-averagely-mineralized_76076; mineral-still-water-vauban-bottled-averagely-mineralized_76097,"Mineral still water (Clos de l'Abbaye), bottled, averagely mineralized || Mineral still water (Dax), bottled, averagely mineralized || Mineral still water (Orée du bois), bottled, averagely mineralized || Mineral still water (St-Amand), bottled, averagely mineralized || Mineral still water (Vittel), bottled, averagely mineralized || Mineral still water (Christinen Brunnen), bottled, averagely mineralized || Mineral still water (Spa-Reine), bottled, averagely mineralized || Mineral still water (Vauban), bottled, averagely mineralized",collapsed 8 source rows into one canonical row
mineral_still_water_bottled_lightly_mineralized,"Mineral still water, bottled, lightly mineralized",Mineral still water,20,collapsed_mineral_water_brand,mineral-still-water-abatilles-bottled-lightly-mineralized_76000; mineral-still-water-aix-les-bains-bottled-lightly-mineralized_76001; mineral-still-water-chambon-bottled-lightly-mineralized_76011; mineral-still-water-chantemerle-bottled-lightly-mineralized_76012; mineral-still-water-evian-bottled-lightly-mineralized_76020; mineral-still-water-luchon-bottled-lightly-mineralized_76025; mineral-still-water-plancoet-bottled-lightly-mineralized_76032; mineral-still-water-sail-les-bains-bottled-lightly-mineralized_76038; mineral-still-water-thonon-bottled-lightly-mineralized_76050; mineral-still-water-volvic-bottled-lightly-mineralized_76057; mineral-still-water-wattwiller-bottled-lightly-mineralized_76059; mineral-still-water-avra-bottled-lightly-mineralized_76062; mineral-still-water-beckerich-bottled-lightly-mineralized_76063; mineral-still-water-chaudfontaine-bottled-lightly-mineralized_76065; mineral-still-water-levissima-bottled-lightly-mineralized_76069; mineral-still-water-nero-bottled-lightly-mineralized_76071; mineral-still-water-valvert-bottled-lightly-mineralized_76078; mineral-still-water-biovive-bottled-lightly-mineralized_76081; mineral-still-water-montclar-bottled-lightly-mineralized_76087; mineral-still-water-ogeu-bottled-lightly-mineralized_76090,"Mineral still water (Abatilles), bottled, lightly mineralized || Mineral still water (Aix-les-Bains), bottled, lightly mineralized || Mineral still water (Chambon), bottled, lightly mineralized || Mineral still water (Chantemerle), bottled, lightly mineralized || Mineral still water (Evian), bottled, lightly mineralized || Mineral still water (Luchon), bottled, lightly mineralized || Mineral still water (Plancoet), bottled, lightly mineralized || Mineral still water (Sail-les-Bains), bottled, lightly mineralized || Mineral still water (Thonon), bottled, lightly mineralized || Mineral still water (Volvic), bottled, lightly mineralized || Mineral still water (Wattwiller), bottled, lightly mineralized || Mineral still water (Avra), bottled, lightly mineralized || Mineral still water (Beckerich), bottled, lightly mineralized || Mineral still water (Chaudfontaine), bottled, lightly mineralized || Mineral still water (Levissima), bottled, lightly mineralized || Mineral still water (Néro), bottled, lightly mineralized || Mineral still water (Valvert), bottled, lightly mineralized || Mineral still water (Biovive), bottled, lightly mineralized || Mineral still water (Montclar), bottled, lightly mineralized || Mineral still water (Ogeu), bottled, lightly mineralized",collapsed 20 source rows into one canonical row
mineral_still_water_bottled_strongly_mineralized,"Mineral still water, bottled, strongly mineralized",Mineral still water,11,collapsed_mineral_water_brand,mineral-still-water-amanda-bottled-strongly-mineralized_76004; mineral-still-water-contrex-bottled-strongly-mineralized_76016; mineral-still-water-didier-bottled-strongly-mineralized_76019; mineral-still-water-hepar-bottled-strongly-mineralized_76022; mineral-still-water-propiac-bottled-strongly-mineralized_76033; mineral-still-water-st-antonin-bottled-strongly-mineralized_76044; mineral-still-water-courmayer-bottled-strongly-mineralized_76067; mineral-still-water-appollinaris-bottled-strongly-mineralized_76079; mineral-still-water-la-cairolle-bottled-strongly-mineralized_76082; mineral-still-water-la-francaise-bottled-strongly-mineralized_76085; mineral-still-water-prince-noir-bottled-strongly-mineralized_76091,"Mineral still water (Amanda), bottled, strongly mineralized || Mineral still water (Contrex), bottled, strongly mineralized || Mineral still water (Didier), bottled, strongly mineralized || Mineral still water (Hépar), bottled, strongly mineralized || Mineral still water (Propiac), bottled, strongly mineralized || Mineral still water (St-Antonin), bottled, strongly mineralized || Mineral still water (Courmayer), bottled, strongly mineralized || Mineral still water (Appollinaris), bottled, strongly mineralized || Mineral still water (La Cairolle), bottled, strongly mineralized || Mineral still water (La Française), bottled, strongly mineralized || Mineral still water (Prince Noir), bottled, strongly mineralized",collapsed 11 source rows into one canonical row
mineral_still_water_bottled_very_lightly_mineralized,"Mineral still water, bottled, very lightly mineralized",Mineral still water,7,collapsed_mineral_water_brand,mineral-still-water-celtic-bottled-very-lightly-mineralized_76010; mineral-water-mont-roucous-bottled-very-lightly-mineralized_76027; mineral-still-water-luso-bottled-very-lightly-mineralized_76070; mineral-still-water-penacova-bottled-very-lightly-mineralized_76072; mineral-water-san-bernardo-bottled-very-lightly-mineralized_76074; mineral-still-water-montcalm-bottled-very-lightly-mineralized_76086; mineral-still-water-treignac-bottled-very-lightly-mineralized_76095,"Mineral still water (Celtic), bottled, very lightly mineralized || Mineral water (Mont-Roucous, bottled, very lightly mineralized || Mineral still water (Luso), bottled, very lightly mineralized || Mineral still water (Penacova), bottled, very lightly mineralized || Mineral water (San Bernardo), bottled, very lightly mineralized || Mineral still water (Montcalm), bottled, very lightly mineralized || Mineral still water (Treignac), bottled, very lightly mineralized",collapsed 7 source rows into one canonical row
pork_loin_raw,"Pork loin, raw",Pork loin,2,collapsed_duplicate_canonical_name,pork-loin-raw_28003; pork-loin-raw_28302,"Pork loin, raw || Pork, loin, raw",collapsed 2 source rows into one canonical row
