recipe_ingredient_id,recipe_id,ingredient_position,ingredient_raw_text,ingredient_name_parsed,ingredient_name_normalized,quantity_value,quantity_unit,quantity_text,quantity_grams_estimated,ingredient_role,ingredient_slot_key,is_optional,is_substitutable,substitution_group_id,mapped_food_id,mapped_food_canonical_name,mapping_status,mapping_confidence,mapping_method,mapping_notes,qc_ingredient_status,qc_notes
recipes_v1_1_candidate_002_ingredient_001,recipes_v1_1_candidate_002,1,1 tablespoon olive oil,olive oil,olive oil,1.0,tablespoon,1,13.5,fat_source,olive_oil,0,1,,food_olive_oil_extra_virgin,olive_oil_extra_virgin,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:olive oil->food_olive_oil_extra_virgin,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_002,recipes_v1_1_candidate_002,2,"1 small onion, diced",onion,onion,1.0,count,1,70.0,veg,onion,0,1,,food_onion_raw,onion_raw,accepted_auto,medium,review_promotion_v1_1,review_promotion_v1_1:onion_family_exact:onion,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_003,recipes_v1_1_candidate_002,3,"4 cloves garlic, minced",garlic,garlic,4.0,clove,4,12.0,veg,garlic,0,1,,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_004,recipes_v1_1_candidate_002,4,1 ½ pounds ground beef,ground beef,beef,1.5,pound,1 1/2,680.39,protein,beef,0,1,,food_beef_minced_steak_15_fat_raw,beef_minced_steak_15_fat_raw,accepted_auto,medium,round3_targeted_blocker,round3_targeted_blocker:beef_row_level:ground_beef; parsed_name=ground beef,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_005,recipes_v1_1_candidate_002,5,1 teaspoon garlic powder,garlic powder,garlic powder,1.0,teaspoon,1,,veg,garlic_powder,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_006,recipes_v1_1_candidate_002,6,1 (28 ounce) jar sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,1.0,jar,1 (28 ounce),,carb,sausage_flavored_spaghetti_sauce,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_007,recipes_v1_1_candidate_002,7,1 (8 ounce) can tomato sauce,tomato sauce,tomato sauce,1.0,can,1 (8 ounce),,veg,tomato_sauce,0,1,,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked",review_needed_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_008,recipes_v1_1_candidate_002,8,1 teaspoon dried oregano,dried oregano,oregano,1.0,teaspoon,1,1,seasoning,oregano,0,0,,food_oregano_dried,oregano_dried,accepted_auto,medium,round2_promotion_v1_1,round2_promotion_v1_1:dried_herb_exact:oregano; parsed_name=dried oregano,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_001,recipes_v1_1_candidate_004,1,1 (16 ounce) package lasagna noodles,lasagna noodles,lasagna noodles,1.0,package,1 (16 ounce),,carb,lasagna_noodles,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_002,recipes_v1_1_candidate_004,2,2 tablespoons olive oil,olive oil,olive oil,2.0,tablespoon,2,27.0,fat_source,olive_oil,0,1,,food_olive_oil_extra_virgin,olive_oil_extra_virgin,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:olive oil->food_olive_oil_extra_virgin,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_003,recipes_v1_1_candidate_004,3,"1 clove garlic, minced",garlic,garlic,1.0,clove,1,3.0,veg,garlic,0,1,,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_004,recipes_v1_1_candidate_004,4,"1 pound baby portobello mushrooms, sliced",baby portobello mushrooms,baby portobello mushrooms,1.0,pound,1,453.59,veg,baby_portobello_mushrooms,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_005,recipes_v1_1_candidate_004,5,2 (16 ounce) jars Alfredo-style pasta sauce,Alfredo-style pasta sauce,alfredo style pasta sauce,2.0,jar,2 (16 ounce),,carb,alfredo_style_pasta_sauce,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_006,recipes_v1_1_candidate_004,6,"1 pound shrimp, peeled and deveined",shrimp,shrimp,1.0,pound,1,453.59,protein,shrimp,0,1,,food_shrimp_or_prawn_raw,shrimp_or_prawn_raw,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:shrimp->food_shrimp_or_prawn_raw,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_007,recipes_v1_1_candidate_004,7,1 pound bay scallops,bay scallops,bay scallops,1.0,pound,1,453.59,protein,bay_scallops,0,1,,food_scallop_without_coral_raw,scallop_without_coral_raw,accepted_auto,medium,round7_macro_blocker,round7_macro_blocker:bay_scallops_to_scallop_raw,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_008,recipes_v1_1_candidate_004,8,"1 pound imitation crabmeat, chopped",imitation crabmeat,imitation crabmeat,1.0,pound,1,453.59,other,imitation_crabmeat,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_009,recipes_v1_1_candidate_004,9,20 ounces ricotta cheese,ricotta cheese,ricotta cheese,20.0,ounce,20,566.99,dairy,ricotta_cheese,0,1,,food_ricotta_cheese,ricotta_cheese,accepted_auto,high,round9_final_mapping,round9_final_mapping:exact_ricotta_cheese,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_010,recipes_v1_1_candidate_004,10,1 egg,egg,egg,1.0,count,1,50.0,protein,egg,0,1,,food_egg_raw,egg_raw,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:egg->food_egg_raw,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_011,recipes_v1_1_candidate_004,11,black pepper,black pepper,black pepper,,,,,veg,black_pepper,0,1,,food_black_pepper_powder,black_pepper_powder,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:black pepper->food_black_pepper_powder,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_012,recipes_v1_1_candidate_004,12,6 cups shredded Italian cheese blend,shredded Italian cheese blend,italian cheese blend,6.0,cup,6,,dairy,italian_cheese_blend,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_001,recipes_v1_1_candidate_005,1,2 pounds salted cod fish,salted cod fish,salted cod fish,2.0,pound,2,907.18,protein,salted_cod_fish,0,1,,food_cod_atlantic_dried_and_salted,cod_atlantic_dried_and_salted,accepted_auto,high,round9_final_mapping,round9_final_mapping:exact_salted_cod_fish,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_002,recipes_v1_1_candidate_005,2,"5 large potatoes, peeled and sliced",potatoes,potatoes,5.0,count,5,,carb,potatoes,0,1,,food_potato_peeled_raw,potato_peeled_raw,accepted_auto,medium,round5_manual_decision,round5_manual_decision:generic_potatoes_raw_rows_only,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_003,recipes_v1_1_candidate_005,3,"3 large onions, sliced",onions,onions,3.0,count,3,450.0,other,onions,0,1,,food_onion_raw,onion_raw,accepted_auto,medium,round3_targeted_blocker,round3_targeted_blocker:onions_plural_to_onion_raw,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_004,recipes_v1_1_candidate_005,4,¾ cup olive oil,olive oil,olive oil,0.75,cup,3/4,162.0,fat_source,olive_oil,0,1,,food_olive_oil_extra_virgin,olive_oil_extra_virgin,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:olive oil->food_olive_oil_extra_virgin,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_005,recipes_v1_1_candidate_005,5,"2 cloves garlic, minced",garlic,garlic,2.0,clove,2,6.0,veg,garlic,0,1,,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_006,recipes_v1_1_candidate_005,6,1 tablespoon chopped fresh parsley,chopped fresh parsley,parsley,1.0,tablespoon,1,,seasoning,parsley,0,0,,,,review_needed,low,review_candidate,family_name_candidate_only; candidate_count=1; preview=food_parsley_dried,review_needed_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_007,recipes_v1_1_candidate_005,7,1 ½ teaspoons crushed red pepper flakes,crushed red pepper flakes,red pepper flakes,1.5,teaspoon,1 1/2,,veg,red_pepper_flakes,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_008,recipes_v1_1_candidate_005,8,1 teaspoon paprika,paprika,paprika,1.0,teaspoon,1,,seasoning,paprika,0,0,,food_paprika,paprika,accepted_auto,high,exact_match,exact canonical_name match,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_005_ingredient_009,recipes_v1_1_candidate_005,9,3 tablespoons tomato sauce,tomato sauce,tomato sauce,3.0,tablespoon,3,,veg,tomato_sauce,0,1,,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked",review_needed_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_001,recipes_v1_1_candidate_007,1,"28 ounces fresh, ground spicy pork sausage",ground spicy pork sausage,spicy pork sausage,28.0,ounce,28,793.79,protein,spicy_pork_sausage,0,1,,food_sausage_meat_pure_pork_raw,sausage_meat_pure_pork_raw,accepted_auto,medium,round7_macro_blocker,round7_macro_blocker:pork_sausage_to_generic_pork_sausage; parsed_name=ground spicy pork sausage,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_002,recipes_v1_1_candidate_007,2,1 cup uncooked long-grain rice,uncooked long-grain rice,uncooked long grain rice,1.0,cup,1,185.0,carb,uncooked_long_grain_rice,0,1,,food_rice_raw,rice_raw,accepted_auto,medium,round4_strict_safe,round4_strict_safe:rice_state_clear:uncooked_long_grain_rice,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_003,recipes_v1_1_candidate_007,3,"1 slice onion, diced",onion,onion,1.0,slice,1,,veg,onion,0,1,,food_onion_raw,onion_raw,accepted_auto,medium,review_promotion_v1_1,review_promotion_v1_1:onion_family_exact:onion,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_004,recipes_v1_1_candidate_007,4,"3 cloves garlic, minced",garlic,garlic,3.0,clove,3,9.0,veg,garlic,0,1,,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_005,recipes_v1_1_candidate_007,5,"1 green bell pepper, chopped",green bell pepper,green bell pepper,1.0,count,1,,veg,green_bell_pepper,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_006,recipes_v1_1_candidate_007,6,"1 red bell pepper, chopped",red bell pepper,red bell pepper,1.0,count,1,,veg,red_bell_pepper,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_007,recipes_v1_1_candidate_007,7,"1 (28 ounce) can whole peeled tomatoes, crushed",whole peeled tomatoes,whole tomatoes,1.0,can,1 (28 ounce),,veg,whole_tomatoes,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_008,recipes_v1_1_candidate_007,8,1 cup chicken broth,chicken broth,chicken broth,1.0,cup,1,240,protein,chicken_broth,0,1,,food_chicken_broth_ready_to_serve,chicken_broth_ready_to_serve,accepted_auto,medium,round4_strict_safe,round4_strict_safe:chicken_broth_low_macro_impact,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_009,recipes_v1_1_candidate_007,9,1 teaspoon salt,salt,salt,1.0,teaspoon,1,6.0,seasoning,salt,0,0,,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:salt->food_salt_white_sea_igneous_or_rock_no_enrichment,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_010,recipes_v1_1_candidate_007,10,1 teaspoon ground black pepper,ground black pepper,black pepper,1.0,teaspoon,1,2.3,veg,black_pepper,0,1,,food_black_pepper_powder,black_pepper_powder,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:black pepper->food_black_pepper_powder,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_007_ingredient_011,recipes_v1_1_candidate_007,11,1 teaspoon cayenne pepper,cayenne pepper,cayenne pepper,1.0,teaspoon,1,,veg,cayenne_pepper,0,1,,food_cayenne_pepper,cayenne_pepper,accepted_auto,high,exact_match,exact display_name match,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_001,recipes_v1_1_candidate_009,1,1 medium head cabbage,head cabbage,head cabbage,1.0,count,1,,veg,head_cabbage,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_002,recipes_v1_1_candidate_009,2,water to cover,water to cover,water to cover,,,,,other,water_to_cover,0,1,,,,unmapped,low,no_match,out_of_scope_non_food_or_non_nutrition_line,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_003,recipes_v1_1_candidate_009,3,1 pound ground beef,ground beef,beef,1.0,pound,1,453.59,protein,beef,0,1,,food_beef_minced_steak_15_fat_raw,beef_minced_steak_15_fat_raw,accepted_auto,medium,round3_targeted_blocker,round3_targeted_blocker:beef_row_level:ground_beef; parsed_name=ground beef,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_004,recipes_v1_1_candidate_009,4,1 cup cooked rice,cooked rice,rice,1.0,cup,1,185.0,carb,rice,0,1,,food_rice_cooked_unsalted,rice_cooked_unsalted,accepted_auto,medium,review_promotion_v1_1,review_promotion_v1_1:rice_preparation_clear:cooked rice; parsed_name=cooked rice,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_005,recipes_v1_1_candidate_009,5,garlic powder to taste,garlic powder,garlic powder,,,,,veg,garlic_powder,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_006,recipes_v1_1_candidate_009,6,1 egg,egg,egg,1.0,count,1,50.0,protein,egg,0,1,,food_egg_raw,egg_raw,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:egg->food_egg_raw,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_007,recipes_v1_1_candidate_009,7,1 (12 fluid ounce) can tomato juice,tomato juice,tomato juice,1.0,can,1 (12 fluid ounce),,veg,tomato_juice,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_008,recipes_v1_1_candidate_009,8,1 tablespoon vinegar,vinegar,vinegar,1.0,tablespoon,1,15.0,sauce,vinegar,0,0,,food_vinegar,vinegar,accepted_auto,high,exact_match,exact canonical_name match,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_009,recipes_v1_1_candidate_009,9,1 tablespoon white sugar,white sugar,white sugar,1.0,tablespoon,1,12.5,other,white_sugar,0,1,,food_sugar_white,sugar_white,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:white sugar->food_sugar_white,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_009_ingredient_010,recipes_v1_1_candidate_009,10,water to cover,water to cover,water to cover,,,,,other,water_to_cover,0,1,,,,unmapped,low,no_match,out_of_scope_non_food_or_non_nutrition_line,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_001,recipes_v1_1_candidate_013,1,1 pound lean ground beef,lean ground beef,beef,1.0,pound,1,453.59,protein,beef,0,1,,food_beef_minced_steak_10_fat_raw,beef_minced_steak_10_fat_raw,accepted_auto,medium,round3_targeted_blocker,round3_targeted_blocker:beef_row_level:lean_ground_beef; parsed_name=lean ground beef,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_002,recipes_v1_1_candidate_013,2,"1 medium green bell pepper, diced",green bell pepper,green bell pepper,1.0,count,1,,veg,green_bell_pepper,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_003,recipes_v1_1_candidate_013,3,"1 medium tomato, chopped",tomato,tomato,1.0,count,1,,veg,tomato,0,1,,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=4; preview=food_tomato_dried,food_tomato_raw,food_tomato_roasted_baked,food_tomato_roasted_baked_with_skin",review_needed_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_004,recipes_v1_1_candidate_013,4,4 tablespoons Worcestershire sauce,Worcestershire sauce,worcestershire sauce,4.0,tablespoon,4,,sauce,worcestershire_sauce,0,0,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_005,recipes_v1_1_candidate_013,5,"1 (28 ounce) can diced tomatoes, undrained",undrained,undrained,1.0,can,1 (28 ounce),,other,undrained,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_006,recipes_v1_1_candidate_013,6,1 tablespoon minced onion,minced onion,onion,1.0,tablespoon,1,,veg,onion,0,1,,food_onion_raw,onion_raw,accepted_auto,medium,review_promotion_v1_1,review_promotion_v1_1:onion_family_exact:onion; parsed_name=minced onion,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_007,recipes_v1_1_candidate_013,7,1 teaspoon minced garlic,minced garlic,garlic,1.0,teaspoon,1,2.8,veg,garlic,0,1,,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_008,recipes_v1_1_candidate_013,8,1 teaspoon dried oregano,dried oregano,oregano,1.0,teaspoon,1,1,seasoning,oregano,0,0,,food_oregano_dried,oregano_dried,accepted_auto,medium,round2_promotion_v1_1,round2_promotion_v1_1:dried_herb_exact:oregano; parsed_name=dried oregano,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_009,recipes_v1_1_candidate_013,9,1 teaspoon dried basil,dried basil,basil,1.0,teaspoon,1,0.7,seasoning,basil,0,0,,food_basil_dried,basil_dried,accepted_auto,medium,round2_promotion_v1_1,round2_promotion_v1_1:dried_herb_exact:basil; parsed_name=dried basil,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_010,recipes_v1_1_candidate_013,10,salt and ground black pepper to taste,salt and ground black pepper,salt and black pepper,,,,,veg,salt_and_black_pepper,0,1,,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name,review_needed_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_011,recipes_v1_1_candidate_013,11,2 cups cooked rice,cooked rice,rice,2.0,cup,2,370.0,carb,rice,0,1,,food_rice_cooked_unsalted,rice_cooked_unsalted,accepted_auto,medium,review_promotion_v1_1,review_promotion_v1_1:rice_preparation_clear:cooked rice; parsed_name=cooked rice,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_013_ingredient_012,recipes_v1_1_candidate_013,12,½ cup shredded Cheddar cheese,shredded Cheddar cheese,cheddar cheese,0.5,cup,1/2,,dairy,cheddar_cheese,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_001,recipes_v1_1_candidate_014,1,"4 tablespoons soy sauce, divided",soy sauce,soy sauce,4.0,tablespoon,4,64.0,sauce,soy_sauce,0,0,,food_soy_sauce_prepacked,soy_sauce_prepacked,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:soy sauce->food_soy_sauce_prepacked,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_002,recipes_v1_1_candidate_014,2,2 tablespoons tomato paste,tomato paste,tomato paste,2.0,tablespoon,2,,veg,tomato_paste,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_003,recipes_v1_1_candidate_014,3,"2 green onions, minced",green onions,green onions,2.0,count,2,220.0,other,green_onions,0,1,,food_chive_or_spring_onion_fresh,chive_or_spring_onion_fresh,accepted_auto,medium,round2_promotion_v1_1,round2_promotion_v1_1:green_onion_scallion_exact:green onions,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_004,recipes_v1_1_candidate_014,4,2 tablespoons rice wine,rice wine,rice wine,2.0,tablespoon,2,,carb,rice_wine,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_005,recipes_v1_1_candidate_014,5,"2 tablespoons white sugar, divided",white sugar,white sugar,2.0,tablespoon,2,25.0,other,white_sugar,0,1,,food_sugar_white,sugar_white,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:white sugar->food_sugar_white,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_006,recipes_v1_1_candidate_014,6,1 tablespoon sesame oil,sesame oil,sesame oil,1.0,tablespoon,1,13.5,fat_source,sesame_oil,0,1,,food_sesame_oil,sesame_oil,accepted_auto,high,exact_match,exact display_name match,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_007,recipes_v1_1_candidate_014,7,2 tablespoons grated fresh ginger,grated fresh ginger,ginger,2.0,tablespoon,2,,other,ginger,0,1,,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_ginger_powder,food_ginger_raw",review_needed_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_008,recipes_v1_1_candidate_014,8,"3 cloves garlic, crushed",garlic,garlic,3.0,clove,3,9.0,veg,garlic,0,1,,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_009,recipes_v1_1_candidate_014,9,"¾ teaspoon red pepper flakes, divided",red pepper flakes,red pepper flakes,0.75,teaspoon,3/4,,veg,red_pepper_flakes,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_010,recipes_v1_1_candidate_014,10,"1 pound pork loin, cut into strips",pork loin,pork loin,1.0,pound,1,453.59,protein,pork_loin,0,1,,food_pork_loin_raw,pork_loin_raw,accepted_auto,medium,round3_targeted_blocker,round3_targeted_blocker:pork_loin_exact,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_014_ingredient_011,recipes_v1_1_candidate_014,11,"¼ cup canola oil, divided",canola oil,canola oil,0.25,cup,1/4,,fat_source,canola_oil,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
