recipe_id,nutrition_basis,servings_basis,total_weight_grams_estimated,energy_kcal_total,protein_g_total,carbs_g_total,fat_g_total,fibre_g_total,sugars_g_total,salt_g_total,water_g_total,energy_kcal_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,fibre_g_per_serving,sugars_g_per_serving,salt_g_per_serving,water_g_per_serving,mapped_ingredient_count,unmapped_ingredient_count,mapped_weight_ratio,cache_status,cache_version,qc_notes,macro_relevant_mapped_weight_ratio,uses_pilot_servings_fallback,servings_estimation_method,servings_adjustment_applied,original_servings_basis,adjusted_servings_basis,quality_flags
recipes_v1_2_round42_dataset_027,recipes_v1_2_round42_dataset_mapped_ingredients_draft,2,579.2,937.406,45.6749,104.2328,36.3808,,,,,468.703,22.8375,52.1164,18.1904,,,,,5,0,1.0,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,1.0,True,round37_bucket_default,False,2,2,
recipes_v1_2_round42_dataset_030,recipes_v1_2_round42_dataset_mapped_ingredients_draft,1,436.25,645.68,28.7555,73.315,25.5808,,,,,645.68,28.7555,73.315,25.5808,,,,,5,0,1.0,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,1.0,True,round37_bucket_default,False,1,1,
recipes_v1_2_round42_dataset_031,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1143.07,3149.7486,70.7442,549.3224,70.8777,,,,,787.4371,17.6861,137.3306,17.7194,,,,,11,2,1.0,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.9903,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_032,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2401.9,2586.9638,185.1602,298.7446,68.8645,,,,,646.7409,46.2901,74.6862,17.2161,,,,,8,5,0.9459,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.5462,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_033,recipes_v1_2_round42_dataset_mapped_ingredients_draft,2,415.33,962.4855,49.0292,148.7491,17.7146,,,,,481.2428,24.5146,74.3746,8.8573,,,,,7,2,0.9964,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9819,True,round37_bucket_default,False,2,2,
recipes_v1_2_round42_dataset_034,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,886.78,1848.5674,148.6111,260.1075,17.9333,,,,,462.1418,37.1528,65.0269,4.4833,,,,,5,4,1.0,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9932,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_035,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1477.19,2097.4584,181.1719,233.22,42.8844,,,,,524.3646,45.293,58.305,10.7211,,,,,6,3,1.0,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.7563,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_036,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2359.14,4199.38,96.6416,892.9258,21.551,,,,,1049.845,24.1604,223.2314,5.3878,,,,,9,3,0.7087,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.7087,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_037,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1445.79,3170.809,160.4061,589.535,14.5438,,,,,792.7023,40.1015,147.3838,3.636,,,,,4,9,0.9846,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9846,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_038,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,3036.08,6001.168,599.4075,805.6,49.3712,,,,,1500.292,149.8519,201.4,12.3428,,,,,7,3,0.9253,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9253,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_039,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1492.49,3921.5064,163.5693,636.8806,68.5622,,,,,980.3766,40.8923,159.2202,17.1406,,,,,5,1,0.848,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.848,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_040,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1423.8,2159.19,84.3717,337.222,47.9275,,,,,539.7975,21.0929,84.3055,11.9819,,,,,10,0,0.8407,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.5036,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_041,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1144.6,2353.6,115.622,433.035,14.4655,,,,,588.4,28.9055,108.2587,3.6164,,,,,3,5,0.7907,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.7907,True,round37_bucket_default,False,4,4,mapping_review_blockers
recipes_v1_2_round42_dataset_042,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2352.24,3368.5044,306.0331,318.3746,87.1701,,,,,842.1261,76.5083,79.5936,21.7925,,,,,9,3,0.8129,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.7619,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_043,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2295.68,3653.423,326.1586,443.7225,58.0857,,,,,913.3557,81.5397,110.9306,14.5214,,,,,10,2,0.9826,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9042,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_044,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1525.28,3770.3658,250.2603,597.984,28.9978,,,,,942.5914,62.5651,149.496,7.2495,,,,,5,0,1.0,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,1.0,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_045,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1303.89,2617.7629,131.3957,303.7855,91.1734,,,,,654.4407,32.8489,75.9464,22.7934,,,,,7,5,0.6739,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.6463,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_046,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1540.09,2353.247,166.6324,153.5406,114.524,,,,,588.3117,41.6581,38.3851,28.631,,,,,6,6,0.8305,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.8286,True,round37_bucket_default,False,4,4,mapping_review_blockers
recipes_v1_2_round42_dataset_047,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2368.13,1859.114,186.2805,198.2023,25.9926,,,,,464.7785,46.5701,49.5506,6.4982,,,,,7,4,0.8085,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.8073,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_048,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2129.13,2568.5687,254.0596,160.0055,96.9863,,,,,642.1422,63.5149,40.0014,24.2466,,,,,7,3,0.7473,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.7473,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_050,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1864.43,2882.5877,199.5564,340.9707,70.5361,,,,,720.6469,49.8891,85.2427,17.634,,,,,9,3,0.924,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.924,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_052,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1327.28,3213.0414,213.2175,303.4759,119.4319,,,,,803.2604,53.3044,75.869,29.858,,,,,7,4,0.9563,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9563,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_059,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1505.71,1681.053,137.335,149.1284,52.0615,,,,,420.2632,34.3338,37.2821,13.0154,,,,,8,5,0.9641,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.9538,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_067,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1086.15,1650.0725,101.458,122.0434,80.9307,,,,,412.5181,25.3645,30.5109,20.2327,,,,,8,0,0.7912,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.7912,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_089,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1516.68,2674.1098,155.6882,266.1438,106.8332,,,,,668.5275,38.9221,66.536,26.7083,,,,,6,7,0.7096,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.7096,True,round37_bucket_default,False,4,4,mapping_review_blockers
recipes_v1_2_round42_dataset_094,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,3770.47,4025.5068,146.7144,675.288,65.1587,,,,,1006.3767,36.6786,168.822,16.2897,,,,,3,3,0.5338,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.5338,True,round37_bucket_default,False,4,4,mapping_review_blockers
recipes_v1_2_round42_dataset_099,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1803.47,2811.4644,266.0146,270.0802,67.8455,,,,,702.8661,66.5036,67.52,16.9614,,,,,11,0,1.0,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9967,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_102,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2217.95,4069.1835,193.2063,604.4515,87.5352,,,,,1017.2959,48.3016,151.1129,21.8838,,,,,7,6,0.8363,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.835,True,round37_bucket_default,False,4,4,mapping_review_blockers
recipes_v1_2_round42_dataset_112,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2726.78,5478.2327,202.5603,849.369,123.3923,,,,,1369.5582,50.6401,212.3422,30.8481,,,,,8,1,0.7505,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.7505,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_114,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,814.08,1901.2224,122.695,299.5782,17.1328,,,,,475.3056,30.6737,74.8946,4.2832,,,,,4,2,0.9386,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9386,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_118,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1389.42,1774.4682,67.3272,301.0831,19.7373,,,,,443.6171,16.8318,75.2708,4.9343,,,,,5,5,0.9998,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.9998,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_125,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1560.63,4511.3881,281.439,806.6785,28.9992,,,,,1127.847,70.3597,201.6696,7.2498,,,,,8,2,0.9273,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9261,True,round37_bucket_default,False,4,4,
