ingredient_name_normalized,suggested_food_id,suggested_canonical_name,suggested_display_name,suggested_food_group,suggested_role,source_used,source_row_reference,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,frequency_in_v1_1,rows_with_grams,total_grams_affected,proposed_action,final_action,safety,sanity_status,sanity_notes,defer_reason,review_notes,example_raw_texts,example_recipes
cornstarch,food_cornstarch,cornstarch,Cornstarch,cereal_starch_or_legume,carb,other_local_source,comprehensive_foods_usda.csv:fdc_id=169698,381,0.26,91.3,0.05,10,0,0,add_to_fooddb_draft,applied_to_v1_1_draft,safe_auto,passed,sanity_passed,,local_usda_source_exact_common_single_ingredient,1 tablespoon cornstarch | 4 teaspoons cornstarch | 2 tablespoons cornstarch | 2/3 cup cornstarch | 2 teaspoons cornstarch,Beef and Broccoli Udon Noodles | Teriyaki Chicken with Mushrooms and Broccoli | Instant Pot Potato and Bacon Soup | Copycat McChicken Sandwich | Steak Fried Rice
green beans,food_green_beans_cooked_unsalted,green_beans_cooked_unsalted,"Green beans, cooked, boiled, drained, without salt",vegetable,veg,other_local_source,comprehensive_foods_usda.csv:fdc_id=169141,35,1.89,7.88,0.28,11,10,4705.99,add_to_fooddb_draft,applied_to_v1_1_draft,needs_review,passed,sanity_passed,,local_usda_source_exists_but_cooked_state_may_not_match_raw_recipe_line,"1 pound small green beans, trimmed (Optional) | 12 ounces green beans, | 2 pounds green beans, | 2 pounds fresh green beans, rinsed and trimmed | 12 ounces fresh green beans, ends trimmed","Filipino Pork Adobo | Sheet Pan Garlic Butter Steak Bites with Veggies | Slow Cooker Chicken Thighs, Green Beans, and Potatoes | Greek Green Beans | Air Fryer Garlic Green Beans"
parmesan cheese,food_parmesan_cheese_hard,parmesan_cheese_hard,"Parmesan cheese, hard",dairy,dairy,other_local_source,comprehensive_foods_usda.csv:fdc_id=170848,392,35.8,3.22,25,11,9,550,add_to_fooddb_draft,applied_to_v1_1_draft,needs_review,passed,sanity_passed,,local_usda_source_exact_enough_but_needs_current_fooddb_style_review,"½ cup grated Parmesan cheese | 1/2 cup grated Parmesan cheese, divided | 1 tablespoon grated Parmesan cheese | 1/2 cup grated Parmesan cheese | 1 cup grated Parmesan cheese",Linda's Lasagna Recipe | Stuffed Eggplant | Slow Cooker Tuscan Chicken Meatballs with Gnocchi | Slow Cooker Chicken and Rice | BLT Pasta Carbonara
